"製造拠点","設備P.F","ライン","製品名","CLコード","生産開始日","生産終了日"
"部品課","BI2.6","10BM55DP09","BM55PD-10DP/2-0.3V(51)","673-0159-0 51","2025/01/01","2099/01/01"
"部品課","BI2.6","10BM55DP11","BM55PD-12DP/2-0.3V(51)","673-0150-0 51","2025/01/01","2099/01/01"
"部品課","BI2.6","10BM55DP17","BM55PD-10DP/2-0.3V(51)","673-0159-0 51","2025/01/01","2099/01/01"
"部品課","BI2.6","10BM55DP21","BM55PD-8DP/2-0.3V(51)","673-0151-0 51","2025/01/01","2099/01/01"
"部品課","BI2.6","10BM55DP38","BM55PD-10DP/2-0.3V(51)","673-0159-0 51","2025/01/01","2099/01/01"
"部品課","BI2.6","10BM55DP32","BM55PD-10DP/2-0.3V(51)","673-0159-0 51","2025/01/01","2099/01/01"
"部品課","BI5.0","10BM55DP35","BM55PD-10DP/2-0.3V(51)","673-0159-0 51","2025/01/01","2099/01/01"
"エノモト","BI2.6","10BM55DS17","BM55P0.5-10DS/2-0.3V(51)","673-7820-0 51","2025/01/01","2099/01/01"
"エノモト","BI2.6","10BM55DS23","BM55P0.5-10DS/2-0.3V(51)","673-7820-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DP05","BM55P0.5-14DP/2-0.3V(51)","673-7809-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DP06","BM55PD0.5-14DP/2-0.3V(51)","673-0126-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DP07","BM55PD-12DP/2-0.3V(51)","673-0150-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DP08","BM55PD-12DP/2-0.3V(51)","673-0150-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DP14","BM55PD-12DP/2-0.3V(51)","673-0150-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DP19","BM55PD-12DP/2-0.3V(51)","673-0150-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DP22","BM55PD0.5-14DP/2-0.3V(51)","673-0126-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DP24","BM55PD-16DP/2-0.3V(51)","673-0160-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DP26","BM55PD-22DP/2-0.3V(51)","673-0178-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DP28","BM55PD-22DP/2-0.3V(51)","673-0178-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DP29","BM55PD-22DP/2-0.3V(51)","673-0178-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DP30","BM55PD-16DP/2-0.3V(51)","673-0160-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DP31","BM55PD-22DP/2-0.3V(51)","673-0178-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DP34","BM55PD-16DP/2-0.3V(51)","673-0160-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DP36","BM55PD-16DP/2-0.3V(51)","673-0160-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DS05","BM55P0.5-14DS/2-0.3V(51)","673-7808-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DS06","BM55P0.5-14DS/2-0.3V(51)","673-7808-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DS07","BM55P0.5-22DS/2-0.3V(51)","673-1006-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DS08","BM55P0.5-22DS/2-0.3V(51)","673-1006-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DS09","BM55P0.5-26DS/2-0.3V(51)","673-0111-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DS12","BM55P0.5-26DS/2-0.3V(51)","673-0111-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DS13","BM55P0.5-26DS/2-0.3V(51)","673-0111-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DS16","BM55P0.5-8DS/2-0.3V(51)","673-0118-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DS19","BM55P0.5-22DS/2-0.3V(51)","673-1006-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DS22","BM55P0.5-16DS/2-0.3V(51)","673-0162-0 51","2025/01/01","2099/01/01"
"株式会社エフビー","BI2.6","10BM55DS24","BM55P0.5-16DS/2-0.3V(51)","673-0162-0 51","2025/01/01","2099/01/01"
"大倉工業株式会社","BI2.6","10BM55DP01","BM55P0.5-2DP/2-0.3V(51)","673-7803-0 51","2025/01/01","2099/01/01"
"大倉工業株式会社","BI2.6","10BM55DP02","BM55PD-2DP/2-0.3V(51)","673-0156-0 51","2025/01/01","2099/01/01"
"大倉工業株式会社","BI2.6","10BM55DP03","BM55P0.5-2DP/2-0.3V(51)","673-7803-0 51","2025/01/01","2099/01/01"
