"RL_log項目名","測定SEQ","大項目","中項目","小項目","上限値","下限値","USL","LSL","データタイプ"
"時刻","1","時刻","","","","","","",""
"Nコード","2","Nコード","","","","","","","ｃ"
"計画ﾏｼﾝﾀｸﾄ","3","計画ﾏｼﾝﾀｸﾄ","","","","","","",""
"梱包開始時間","4","梱包開始時間","","","","","","",""
"梱包終了時間","5","梱包終了時間","","","","","","",""
"R計画数","6","計画数","","","","","","",""
"R投入数","7","工程内不良","投入数","","","","","",""
"R生産数","8","工程内不良","生産数","","","","","",""
"R梱包数","9","工程内不良","梱包数","","","","","",""
"R不良数","10","不良数","","","","","","",""
"短絡R不良数","11","工程内不良","短絡不良","短絡不良","","","","",""
"短絡1R不良数","12","工程内不良","短絡不良","短絡1","","","","",""
"短絡2R不良数","13","工程内不良","短絡不良","短絡2","","","","",""
"導通R不良数","14","工程内不良","導通不良","導通不良","","","","",""
"機器R不良数","15","仕損","機器不良","","","","","",""
"平坦度1R不良数","16","工程内不良","平坦度不良","平坦度不良1","","","","",""
"ﾋﾟｯﾁ1R不良数","17","工程内不良","ピッチ不良","ピッチ不良1","","","","",""
"平坦度2R不良数","18","工程内不良","平坦度不良","平坦度不良2","","","","",""
"ﾋﾟｯﾁ2R不良数","19","工程内不良","ピッチ不良","ピッチ不良2","","","","",""
"予備R不良数","20","工程内不良","予備","","","","","",""
"","21","","","","","","","",""
"","22","","","","","","","",""
"","23","","","","","","","",""
"","24","","","","","","","",""
